Feature,Coefficient,P>|t|,Merged_Label
ppron,0.18620614832815502,0.04679097200348915,Father and Son_Iran
you,0.10992787648927045,0.029926051878031375,Father and Son_Iran
family,0.08765172352012078,1.9028287210680937e-94,Father and Son_Iran
shehe,0.0705167000773234,0.0007457534393609677,Father and Son_Iran
const,0.06249999999999957,0.0,Father and Son_Iran
posemo,0.049170101966182066,0.0003201679849491038,Father and Son_Iran
assent,0.04228508261083168,2.508467298188678e-44,Father and Son_Iran
insight,0.040077433568676143,1.5419740913186444e-28,Father and Son_Iran
hear,0.03245059269408789,0.00016770691292655206,Father and Son_Iran
they,0.028571865226875687,0.040847339350118445,Father and Son_Iran
see,0.024868442301649477,6.233170975344846e-05,Father and Son_Iran
drives,0.02436538158289292,0.001607424720207965,Father and Son_Iran
auxverb,0.019509465443758263,4.943912041521083e-12,Father and Son_Iran
body,0.01682068718993744,4.2141799017322056e-14,Father and Son_Iran
health,0.015517389192256573,1.923031053825226e-12,Father and Son_Iran
discrep,0.015254537016565364,2.0728777193379734e-13,Father and Son_Iran
nonflu,0.014161114547158564,3.362432276459128e-06,Father and Son_Iran
negemo,0.012417778837699131,0.02486315659252755,Father and Son_Iran
focuspresent,0.010879842401815429,0.0030643647286903095,Father and Son_Iran
negate,0.010863731242249718,5.598819861684471e-06,Father and Son_Iran
ingest,0.009742644672837135,1.9507477179085407e-10,Father and Son_Iran
motion,0.009252538016096276,0.041118261974276225,Father and Son_Iran
anger,0.008160301739851137,9.333143835819752e-08,Father and Son_Iran
tentat,0.007027286196820199,0.000148598481278955,Father and Son_Iran
temperature,0.006354824617432244,1.6488726590000013e-06,Father and Son_Iran
compare,0.006334836639910286,3.4607120254792394e-05,Father and Son_Iran
sexual,0.006124639854141015,3.59454320309713e-05,Father and Son_Iran
relig,0.006038739336339665,6.023521399847511e-06,Father and Son_Iran
anx,0.006036653363395063,0.0007369172573216076,Father and Son_Iran
sad,0.0047638000150588,0.03172807438821829,Father and Son_Iran
cause,0.004220397266489019,0.030068067890775638,Father and Son_Iran
work,0.004192088033695904,0.0046572733409467005,Father and Son_Iran
focuspast,-0.004341477367149312,0.01173755632988693,Father and Son_Iran
focusfuture,-0.004848879317564243,0.0023524731364215432,Father and Son_Iran
conj,-0.005315191099741914,0.004804692560115054,Father and Son_Iran
adj,-0.005605171016486768,0.0005560289686583418,Father and Son_Iran
netspeak,-0.005630516887813233,2.7035450533925547e-05,Father and Son_Iran
leisure,-0.005768419503138103,0.00046694804096106767,Father and Son_Iran
swear,-0.006754362085335537,2.447306061961509e-07,Father and Son_Iran
quant,-0.0068091813404778994,5.607068336967585e-05,Father and Son_Iran
power,-0.01248093168381733,2.750999506073766e-05,Father and Son_Iran
social,-0.022987099764335536,4.796438058478699e-06,Father and Son_Iran
friend,-0.024801572976063384,6.961457328942091e-13,Father and Son_Iran
verb,-0.02675451664231745,9.934748511442771e-08,Father and Son_Iran
bio,-0.02821017603824902,3.3117868066401606e-12,Father and Son_Iran
cogproc,-0.032450700647932054,2.224541689023082e-07,Father and Son_Iran
male,-0.036390347103058975,1.479353463788881e-17,Father and Son_Iran
affect,-0.04156669782746928,0.0020497076917541314,Father and Son_Iran
informal,-0.048546306416022075,5.3165779135219224e-24,Father and Son_Iran
female,-0.11077411399086924,6.801670966316573e-104,Father and Son_Iran
