Feature,Coefficient,P>|t|,Merged_Label
pronoun,0.5545443940063448,0.003130874392523021,Father and Son_UK
male,0.11329108539458688,2.66269516947355e-181,Father and Son_UK
const,0.06250000000000068,0.0,Father and Son_UK
informal,0.027701734865725837,3.6076173404336575e-10,Father and Son_UK
focuspresent,0.017415700825551227,2.5755783429094366e-07,Father and Son_UK
quant,0.0167157875553352,6.3402367017938484e-27,Father and Son_UK
adverb,0.014903268248296846,9.143113828885144e-23,Father and Son_UK
friend,0.014819322735045075,3.090014691818507e-06,Father and Son_UK
negate,0.01449271290598014,4.571978191016169e-11,Father and Son_UK
focuspast,0.010944158124821541,5.0775637228880925e-12,Father and Son_UK
reward,0.010671547525328857,0.0003991398667457249,Father and Son_UK
body,0.010621184556507575,2.144531277885372e-07,Father and Son_UK
focusfuture,0.010329366269577589,1.898702287770932e-12,Father and Son_UK
prep,0.009063975259602218,7.171342408125596e-05,Father and Son_UK
health,0.008552457472121161,2.4558640510218104e-05,Father and Son_UK
article,0.008018914449951068,0.0003134384286120557,Father and Son_UK
tentat,0.007698770684064735,6.257797878213354e-06,Father and Son_UK
swear,0.006906928489857724,9.605782538918719e-09,Father and Son_UK
leisure,0.006435815783490287,2.200037295642862e-05,Father and Son_UK
conj,0.005355146579976466,0.0020127602745717717,Father and Son_UK
certain,0.005318796441506585,0.0028692517294851556,Father and Son_UK
filler,0.005053200117548915,3.4370312035017443e-06,Father and Son_UK
sexual,0.004349997376337261,0.0014204604560226135,Father and Son_UK
number,-0.0022826397383327946,0.046238230852782725,Father and Son_UK
interrog,-0.0033573240149913502,0.01956455105849613,Father and Son_UK
achiev,-0.0034333038574467546,0.03916549535095176,Father and Son_UK
netspeak,-0.004298397101214196,0.0004954813322019558,Father and Son_UK
work,-0.005586071695766721,4.151987377994436e-05,Father and Son_UK
anger,-0.006677954237217521,2.0347620361501894e-06,Father and Son_UK
home,-0.00792594912425236,1.5062733271743457e-08,Father and Son_UK
assent,-0.008192858133668178,0.0032256073422104376,Father and Son_UK
temperature,-0.00911709607887068,7.885461293146303e-14,Father and Son_UK
relig,-0.009233775659151735,5.454934645695418e-14,Father and Son_UK
family,-0.014984389034248643,0.00012178921003364944,Father and Son_UK
affect,-0.024637693893198254,0.046978017935341884,Father and Son_UK
bio,-0.02900721580106075,7.065809734288973e-15,Father and Son_UK
nonflu,-0.032338442153985056,9.567652769817167e-31,Father and Son_UK
they,-0.034595625313991275,0.007107714493228547,Father and Son_UK
function,-0.047883880465396274,3.5426572763639316e-20,Father and Son_UK
shehe,-0.0824027987792936,1.840273538471866e-05,Father and Son_UK
we,-0.09267108711752602,0.009648911030625849,Father and Son_UK
you,-0.128405804066425,0.005838263231654542,Father and Son_UK
i,-0.18398471306939537,0.003089448818005548,Father and Son_UK
ppron,-0.2502358491124402,0.003679929106330499,Father and Son_UK
ipron,-0.28573504777288555,0.005728536490153744,Father and Son_UK
