Feature,Coefficient,P>|t|,Merged_Label
const,0.1666666666666673,0.0,disagreement_Iran
affect,0.16203336086078513,2.486965506320604e-19,disagreement_Iran
cogproc,0.07623449269583321,8.814235739002925e-20,disagreement_Iran
negate,0.06845859167992581,3.8730171173128335e-101,disagreement_Iran
verb,0.05547097701121803,1.4007268513891085e-16,disagreement_Iran
assent,0.05156958225752774,3.1271277169330894e-37,disagreement_Iran
hear,0.040031087273543826,0.0005121925511510784,disagreement_Iran
sad,0.03749495541241459,1.30780544511369e-36,disagreement_Iran
article,0.03694183203882858,3.295920143245451e-30,disagreement_Iran
family,0.030767542922603357,5.599610332187253e-08,disagreement_Iran
conj,0.028587760929211017,8.242050071238471e-30,disagreement_Iran
interrog,0.023279995344500058,8.424053340485576e-29,disagreement_Iran
anger,0.021570186311780024,4.7670301330609004e-26,disagreement_Iran
power,0.018842909183767367,2.163848517121796e-06,disagreement_Iran
achiev,0.018297149870195463,3.903477705102496e-14,disagreement_Iran
time,0.017698089164032954,0.021147708953922966,disagreement_Iran
health,0.016882429173364234,9.885897013706211e-09,disagreement_Iran
risk,0.01573537776422169,1.845523160867442e-10,disagreement_Iran
reward,0.015364197105123791,0.0004490979229735658,disagreement_Iran
home,0.01446950500693921,1.1296931357325404e-12,disagreement_Iran
prep,0.01133226769663569,0.0006316569006425861,disagreement_Iran
compare,0.011182907148916522,4.5003194900604954e-08,disagreement_Iran
netspeak,0.009654010944350212,7.239742315068962e-08,disagreement_Iran
leisure,0.00946755647939235,1.7261823758253128e-05,disagreement_Iran
relig,0.0091224429908584,3.1188092580622923e-07,disagreement_Iran
body,0.008230337506878706,0.005654851203244387,disagreement_Iran
money,0.005586251054650782,0.0008572033382447429,disagreement_Iran
filler,0.003608375129945713,0.02244969787053605,disagreement_Iran
temperature,-0.004591114926278885,0.009559759332541596,disagreement_Iran
adj,-0.004678019390855805,0.031059082513636996,disagreement_Iran
adverb,-0.005236512271647838,0.01744639249787231,disagreement_Iran
number,-0.006739512386419813,5.0973143022915215e-05,disagreement_Iran
swear,-0.008455667744164046,1.324797604679099e-06,disagreement_Iran
discrep,-0.011480948162695133,3.510232146075105e-05,disagreement_Iran
cause,-0.013128774734101923,4.4354823243517034e-07,disagreement_Iran
focusfuture,-0.014694731481134923,5.322412753673422e-12,disagreement_Iran
focuspast,-0.01579606036516589,6.905381346672457e-12,disagreement_Iran
certain,-0.018068778607610848,3.1505661182800967e-12,disagreement_Iran
tentat,-0.01941001268263338,4.5515181027728514e-15,disagreement_Iran
nonflu,-0.025655102126881574,2.9747243196626056e-10,disagreement_Iran
quant,-0.02774242529416203,1.2713696370090623e-34,disagreement_Iran
friend,-0.032707863277535526,1.3751595373425339e-12,disagreement_Iran
differ,-0.03328149886113675,5.352619790285398e-11,disagreement_Iran
bio,-0.03398570707261222,3.4090261288931756e-10,disagreement_Iran
focuspresent,-0.037076782489491,4.3664781379846886e-14,disagreement_Iran
relativ,-0.0506620554020978,0.0009915630314773992,disagreement_Iran
female,-0.050854507005265,8.792891208788423e-14,disagreement_Iran
negemo,-0.053646029111763305,4.135447272899335e-13,disagreement_Iran
function,-0.05550985191276058,2.0601592653865463e-13,disagreement_Iran
drives,-0.0608136568361702,3.831402310291985e-09,disagreement_Iran
insight,-0.06286792611609526,1.1461658688885352e-38,disagreement_Iran
male,-0.06997246104951338,1.3745873591193297e-34,disagreement_Iran
informal,-0.09209085648551935,1.3519543802860801e-46,disagreement_Iran
posemo,-0.14957443593324374,2.6368344979311876e-16,disagreement_Iran
