Feature,Coefficient,P>|t|
const,7.500000000000009,0.0
temperature,-0.11163266001350526,2.125353234133688e-06
generation_number,-0.015076966998160985,0.47178724964539964
affect,0.23599658658353798,0.3242197514006214
posemo,-0.5353017253435653,0.027356935316190108
informal,1.0591806185677226,2.2927094241799664e-35
netspeak,-0.19513777558038944,2.6295068327810335e-16
negemo,-0.13940648571124933,0.15604655412776192
leisure,-0.05646354983746345,0.05372979710695071
function,-0.13447636631610294,0.18040696100044432
article,0.11558971730088913,0.007113210416455914
drives,0.22428145218800594,0.10196098992857083
power,-0.078189338843771,0.13898663070426834
sad,-0.12456435764412462,0.0015626332257904516
bio,-1.287880229817053,1.987444998048599e-71
body,0.5772991378122303,3.4686399994752423e-48
achiev,-0.0440153410702901,0.17072936843207717
adj,0.09981830835667013,0.0005355521774903489
cogproc,-0.09001648370986545,0.4183359056300835
discrep,0.03754169618639644,0.30855631734604594
health,0.6484480826141896,1.817454723437366e-61
sexual,0.19904991932643384,3.999044183060617e-14
prep,0.19238690526267338,1.2649773399561492e-05
adverb,-0.023370263085431893,0.4246349492309607
relativ,-0.2571697220179997,0.20839967393080036
space,0.10945987276912655,0.34147616164585215
time,0.20269404968232957,0.04693074476801773
work,0.05813546299333597,0.02709201538607132
certain,-0.038282088259514284,0.266227919594307
assent,-0.7791861410248935,1.3573177776598841e-47
risk,0.07043799936717585,0.031744210365137894
anger,0.07470258574503624,0.005903388453695325
verb,0.14717969788311464,0.09874834947765365
insight,0.11236942074500365,0.07989511753969096
focuspast,-0.004626688545526669,0.8797798121655379
reward,0.0024682798118014137,0.9661550289945309
affiliation,0.10984133623865444,0.47600741522820833
social,-0.046865413400625305,0.5994411496537114
friend,-0.02624135548803974,0.6686486396715762
money,0.053610844943920016,0.016055403151576598
percept,0.11434695068359924,0.5761389031388993
feel,-0.0742144702221175,0.37861527546226326
motion,0.1354775602916643,0.09214832978839434
cause,-0.03490700449069356,0.3122768120266446
differ,0.0814018653133341,0.22707496515857029
quant,0.13252075785873246,1.006814827671175e-05
focuspresent,-0.21662563258615644,0.0008986968248139768
home,-0.014875834344967087,0.5819361404332052
swear,-0.023763123662929698,0.30635040173132577
anx,0.02197659794203321,0.48886390031502713
compare,-0.10504852086950897,0.00011009413469330719
relig,0.07656094640666555,0.0012311450459364464
nonflu,-0.37348200939557463,5.143640533408025e-12
focusfuture,-0.018623022290561987,0.5105627656621669
auxverb,0.036739874573827894,0.46368144367519926
negate,-0.03785816406899695,0.37274957704717326
ingest,0.35407801093406566,9.870378846276832e-39
death,0.06111201957328168,0.003955065804357808
tentat,0.05216858121903242,0.11271305001572063
conj,-0.012943941253805095,0.6989313819150921
pronoun,-0.24867206422098687,0.9452720383197029
ipron,0.29572854315106445,0.8822198221398918
filler,-0.02051971120756835,0.32862527479202996
see,-0.0901005585954258,0.41390135847520004
hear,-0.1320516335503646,0.3883941023551213
family,0.695129008506076,2.6947979554235927e-20
female,1.21042296718538,1.23473402867441e-40
male,1.325035686285307,2.8302627069187962e-68
number,0.039483097236564554,0.07406960048147479
ppron,0.030340007794726898,0.9854435369304352
shehe,-0.37762691577838076,0.30910760748076793
interrog,0.055302596357324874,0.04633313349944059
i,-0.022944422431301292,0.9847478201850097
you,0.3168203143884463,0.7245349576233276
we,-0.13571149411780956,0.8443186663218385
they,0.11866365792417248,0.6323981457656886
